Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,bet_over,commence_time
Yusei Kikuchi,L,TOR,TBR,5.52,4.5,116,0.463,0.645,0.182,1,2023-05-24 18:40:00
Johan Oviedo,R,PIT,TEX,5.84,4.5,-118,0.541,0.693,0.152,1,2023-05-24 12:35:00
James Paxton,L,BOS,LAA,6.93,5.5,-118,0.541,0.69,0.149,1,2023-05-24 21:38:00
Brandon Bielak,R,HOU,MIL,5.26,4.5,114,0.467,0.603,0.136,1,2023-05-24 13:10:00
Bryce Elder,R,ATL,LAD,5.24,4.5,106,0.485,0.601,0.116,1,2023-05-24 19:20:00
Martin Perez,L,TEX,PIT,4.92,3.5,-158,0.612,0.724,0.112,1,2023-05-24 12:35:00
Trevor Williams,R,WAS,SDP,4.29,3.5,-136,0.576,0.622,0.046,1,2023-05-24 19:05:00
Tony Gonsolin,R,LAD,ATL,4.91,4.5,-102,0.505,0.543,0.038,1,2023-05-24 19:20:00
Zac Gallen,R,ARI,PHI,6.76,6.5,108,0.481,0.514,0.033,1,2023-05-24 13:05:00
