Name,Handedness,Team,Opponent,xK,prop_k,under,under_odds,x_under,under_diff,bet_under,commence_time
Tyler Wells,R,BAL,NYY,3.89,4.5,106,0.485,0.649,0.164,1,2023-05-24 19:05:00
Sandy Alcantara,R,MIA,COL,4.4,5.5,-144,0.59,0.72,0.13,1,2023-05-24 20:40:00
Michael Kopech,R,CHW,CLE,3.86,4.5,-116,0.537,0.656,0.119,1,2023-05-24 13:10:00
Nestor Cortes,L,NYY,BAL,5.33,5.5,114,0.467,0.559,0.092,1,2023-05-24 19:05:00
Cal Quantrill,R,CLE,CHW,3.76,4.5,-142,0.587,0.677,0.09,1,2023-05-24 13:10:00
Anthony DeSclafani,R,SFG,MIN,4.73,5.5,-152,0.603,0.663,0.06,1,2023-05-24 13:10:00
Zack Greinke,R,KCR,DET,3.18,3.5,-124,0.554,0.606,0.052,1,2023-05-24 19:40:00
Ranger Suarez,L,PHI,ARI,3.93,4.5,-150,0.6,0.642,0.042,1,2023-05-24 13:05:00
Adrian Houser,R,MIL,HOU,3.14,3.5,-134,0.573,0.615,0.042,1,2023-05-24 13:10:00
