Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,bet_over,commence_time
Cristian Javier,R,HOU,MIL,8.15,6.5,-108,0.519,0.704,0.185,1,2023-05-22 19:40:00
Brady Singer,R,KCR,DET,6.04,4.5,-142,0.587,0.72,0.133,1,2023-05-22 19:40:00
Dane Dunning,R,TEX,PIT,4.92,4.5,128,0.439,0.546,0.107,1,2023-05-22 18:35:00
Edward Cabrera,R,MIA,COL,5.72,4.5,-140,0.583,0.676,0.093,1,2023-05-22 20:40:00
Michael Lorenzen,R,DET,KCR,4.9,4.5,108,0.481,0.541,0.06,1,2023-05-22 19:40:00
Corbin Burnes,R,MIL,HOU,6.54,6.5,124,0.446,0.48,0.034,1,2023-05-22 19:40:00
Charlie Morton,R,ATL,LAD,6.65,6.5,114,0.467,0.498,0.031,1,2023-05-22 19:20:00
