Name,Handedness,Team,Opponent,xK,prop_k,under,under_odds,x_under,under_diff,bet_under,commence_time
Zack Wheeler,R,PHI,ARI,5.7,6.5,-118,0.541,0.654,0.113,1,2023-05-22 18:40:00
Kyle Muller,L,OAK,SEA,3.99,4.5,-116,0.537,0.631,0.094,1,2023-05-22 21:40:00
Luis Ortiz,R,PIT,TEX,3.55,4.5,-172,0.632,0.716,0.084,1,2023-05-22 18:35:00
Tanner Houck,R,BOS,LAA,4.3,4.5,102,0.495,0.571,0.076,1,2023-05-22 21:38:00
Luis Castillo,R,SEA,OAK,7.23,7.5,104,0.49,0.565,0.075,1,2023-05-22 21:40:00
Tommy Henry,L,ARI,PHI,3.68,4.5,-172,0.632,0.691,0.059,1,2023-05-22 18:40:00
