Merrill Kelly,4.76,6.5,5,6.1
Tyler Wells,4.27,6.5,4,6.2
Logan Allen,5.17,4.5,4,6.0
Yusei Kikuchi,4.54,5.5,4,5.0
Daniel Lynch,4.94,4.5,4,6.0
Michael Lorenzen,4.97,4.5,3,6.2
Cristian Javier,7.22,4.5,2,5.0
Austin Gomber,5.27,3.5,1,4.0
Tylor Megill,4.23,4.5,1,3.2
Patrick Sandoval,4.8,5.5,8,5.0
Aaron Nola,7.05,6.5,7,6.1
Bobby Miller,4.68,5.5,7,6.0
Bryan Woo,4.68,4.5,7,4.2
Nathan Eovaldi,5.73,5.5,6,6.1
Michael Kopech,4.96,5.5,6,5.0
Tanner Houck,4.12,5.5,6,6.0
J.P. France,4.68,3.5,6,6.2
Kodai Senga,4.68,5.5,6,7.0
Julio Teheran,3.54,4.5,6,7.0
Johan Oviedo,5.59,4.5,5,6.1
Domingo German,4.59,5.5,5,6.0
Triston McKenzie,5.32,6.5,5,5.0
Cole Irvin,3.88,4.5,5,5.1
Paul Blackburn,4.78,4.5,5,6.0
Taj Bradley,4.68,5.5,4,3.2
Andrew Abbott,4.68,4.5,4,5.2
Ryne Nelson,2.95,4.5,4,5.2
Brady Singer,6.21,3.5,4,4.1
Sandy Alcantara,4.21,5.5,4,7.0
MacKenzie Gore,4.74,6.5,3,5.0
Miles Mikolas,4.36,4.5,2,6.0
Jared Shuster,4.68,3.5,0,5.0
Blake Snell,6.7,5.5,12,7.0
Braxton Garrett,5.02,4.5,9,5.1
Shane Bieber,4.77,4.5,9,7.0
Hunter Greene,7.23,6.5,9,5.1
Lucas Giolito,5.83,5.5,8,7.0
Griffin Canning,4.98,5.5,7,5.0
Mitch Keller,5.53,5.5,7,7.0
Louie Varland,5.91,4.5,6,4.2
Trevor Williams,3.53,3.5,6,5.0
Freddy Peralta,5.71,7.5,5,5.0
JP Sears,4.7,5.5,5,5.0
Zac Gallen,5.36,6.5,5,5.2
Dinelson Lamet,6.24,4.5,5,5.0
Shane McClanahan,6.5,6.5,5,7.0
Hayden Wesneski,5.59,4.5,4,3.0
Clarke Schmidt,4.79,4.5,4,5.1
Kevin Gausman,6.53,8.5,4,4.2
Brandon Bielak,4.02,3.5,4,5.0
Brayan Bello,4.56,5.5,3,7.0
Adam Wainwright,3.91,4.5,2,5.2
Logan Gilbert,6.44,5.5,2,3.0
Martin Perez,4.5,3.5,2,3.1
Bryce Elder,5.26,4.5,1,5.1
Carlos Carrasco,4.35,4.5,1,4.2
James Paxton,6.74,7.5,8,6.0
Tyler Anderson,4.38,4.5,7,6.0
Tommy Henry,3.55,4.5,6,4.2
Connor Seabold,4.45,3.5,6,6.0
Logan Webb,6.11,5.5,6,7.0
Zach Eflin,5.43,5.5,6,4.2
Bryce Miller,4.86,4.5,6,6.0
Matthew Liberatore,3.77,4.5,5,6.0
Zack Greinke,3.41,3.5,4,5.0
James Kaprielian,4.52,4.5,4,6.0
Jesus Luzardo,6.18,6.5,3,4.0
Dane Dunning,4.95,4.5,3,5.0
Luke Weaver,4.93,4.5,3,4.2
George Kirby,5.87,5.5,10,6.0
Pablo Lopez,7.01,6.5,9,6.0
Corbin Burnes,7.34,6.5,8,6.0
Zack Wheeler,6.53,6.5,7,6.0
Tony Gonsolin,4.64,4.5,6,6.0
Lance Lynn,6.0,5.5,6,5.0
Dean Kremer,4.21,3.5,6,6.0
Chase Anderson,3.39,3.5,6,4.1
Alex Cobb,6.0,5.5,5,4.0
Joe Musgrove,6.27,5.5,5,6.0
Patrick Corbin,2.96,3.5,5,5.0
Kutter Crawford,4.26,4.5,5,4.0
Chris Bassitt,4.99,4.5,5,3.0
Hunter Brown,7.38,5.5,4,7.0
Jordan Lyles,4.76,4.5,4,6.0
Edward Cabrera,5.66,6.5,4,4.0
Luis Severino,5.54,5.5,4,4.2
Zach Davies,3.28,3.5,4,3.0
Tanner Bibee,5.1,4.5,3,4.0
Jack Flaherty,4.6,5.5,3,4.1
Max Scherzer,6.32,7.5,2,3.1
Brandon Williamson,5.1,4.5,1,5.0
Reid Detmers,5.12,5.5,8,6.0
Gerrit Cole,7.26,6.5,8,6.0
Jordan Montgomery,4.81,5.5,7,6.1
Bailey Ober,5.83,5.5,7,6.0
Garrett Whitlock,4.21,5.5,7,7.0
Ranger Suarez,5.02,3.5,7,7.0
Merrill Kelly,4.76,5.5,7,6.0
Anthony DeSclafani,4.26,3.5,7,3.0
Aaron Civale,3.93,4.5,7,3.2
Luis Castillo,7.6,6.5,6,5.2
Spencer Strider,9.67,8.5,6,5.0
Eury Perez,5.12,5.5,6,6.0
Tyler Glasnow,5.95,8.5,6,5.1
Framber Valdez,5.08,6.5,6,7.0
Justin Verlander,5.63,6.5,6,6.0
Michael Wacha,5.03,4.5,5,6.2
Luis Medina,5.12,4.5,5,4.2
Mike Clevinger,4.21,4.5,5,4.2
Josiah Gray,4.44,3.5,5,7.0
Austin Gomber,5.26,3.5,5,6.0
Jose Berrios,4.41,4.5,5,7.2
Clayton Kershaw,6.74,7.5,5,6.0
Andrew Heaney,6.19,5.5,5,3.2
Ben Lively,4.96,4.5,4,5.2
Colin Rea,5.14,4.5,4,5.0
Daniel Lynch,4.91,4.5,3,7.0
Kyle Bradish,4.67,4.5,1,7.0
Taj Bradley,5.05,5.5,11,4.1
Dylan Cease,6.69,5.5,10,5.1
Paul Blackburn,4.81,3.5,9,5.2
Aaron Nola,7.04,5.5,9,6.2
