Name,Team,GS,IP,TBF,K%,PlayerId,MLBAMID
"Chris Sale","BOS",14,69.1,290,0.2862069,10603,519242
"Mark Leiter Jr.","CHC",4,119,490,0.28571429,15551,643410
"Thomas Pannone","MIL",0,2.2,14,0.28571429,17281,623381
"José Quijada","LAA",0,49.2,210,0.28571429,19200,650671
"Michel Baez","SDP",0,2,7,0.28571429,20100,673258
"Luis Castillo","DET",0,3.2,14,0.28571429,20638,622379
"Freddy Peralta","MIL",40,206,851,0.28554642,18679,642547
"Chris Martin","- - -",0,96.1,382,0.28534031,11847,455119
"Hunter Harvey","WSN",0,80.2,319,0.28526646,15507,640451
"Scott McGough","ARI",0,56.2,242,0.28512397,12056,543518
"Kodai Senga","NYM",22,122.2,524,0.28435115,31838,673540
"Trevor Stephan","CLE",0,116,486,0.28395062,19932,663986
"Shane McClanahan","TBR",49,281.1,1110,0.28378378,21483,663556
"Brandon Hughes","CHC",0,71.1,302,0.28145695,23460,676714
"Tanner Rainey","WSN",0,30,128,0.28125,17610,663432
"Dauri Moreta","- - -",1,86.2,363,0.28099174,21101,664294
"Corbin Burnes","MIL",57,347,1388,0.28025937,19361,669203
"Giovanny Gallegos","STL",0,107,430,0.27906977,14986,606149
"Penn Murfee","SEA",1,83.1,330,0.27878788,25174,682171
"Cristian Javier","HOU",48,271,1098,0.27868852,17606,664299
"Jeffrey Springs","TBR",28,151.1,604,0.2781457,17677,605488
"Abner Uribe","MIL",0,14.1,54,0.27777778,25327,682842
"Drew Smith","NYM",0,86.2,364,0.27747253,17755,622098
"Keynan Middleton","- - -",0,60,249,0.27710843,15264,641871
"Luis Castillo","- - -",49,293.2,1192,0.27684564,15689,622491
"Darren O'Day","ATL",0,21.2,94,0.27659574,3321,503285
"Lucas Erceg","OAK",0,35.1,170,0.27647059,19360,668674
"Tyler Kinley","COL",0,28.2,123,0.27642276,18297,641755
"Clayton Kershaw","LAD",39,226.2,890,0.27640449,2036,477132
"Emilio Pagán","MIN",0,114.2,479,0.27557411,14771,641941
"Jake Diekman","- - -",0,97.2,452,0.27433628,5003,518617
"Aaron Nola","PHI",56,353.1,1415,0.27420495,16149,605400
"Reynaldo López","- - -",1,114.1,460,0.27391304,16400,625643
"James Paxton","BOS",15,80.1,329,0.27355623,11828,572020
"Matt Moore","- - -",0,112,451,0.27272727,1890,519043
"JoJo Romero","- - -",0,46.1,187,0.27272727,19574,668941
"Bryce Jarvis","ARI",0,3,11,0.27272727,27477,686826
"Bryan Baker","BAL",2,111.2,466,0.27253219,19804,641329
"Jeff Hoffman","- - -",1,79.1,339,0.27138643,17432,656546
"Lucas Sims","CIN",0,51.2,225,0.27111111,13470,608371
"Jeff Brigham","- - -",0,53.2,225,0.27111111,16631,656257
"Robbie Ray","SEA",33,192.1,794,0.27078086,11486,592662
"Scott Effross","- - -",1,56.2,229,0.27074236,18384,664123
"Andrew Abbott","CIN",13,76.1,307,0.27035831,29911,671096
"Nick Mears","- - -",0,9,37,0.27027027,25376,683232
"Aaron Bummer","CHW",0,71,315,0.26984127,16258,607481
"Ryan Walker","SFG",9,43.1,178,0.26966292,20423,676254
"Jake Cousins","MIL",0,22.2,104,0.26923077,21620,664776
"Jesse Chavez","- - -",2,98.1,409,0.26894866,5448,445926
"Danny Coulombe","- - -",0,51.1,212,0.26886792,13293,543056
"Joe Ryan","MIN",49,273,1127,0.26885537,21390,657746
"Robert Stephenson","- - -",0,95.2,398,0.26884422,13594,596112
"Thomas Szapucki","- - -",1,15,67,0.26865672,21065,663378
"Julian Merryweather","- - -",1,80,350,0.26857143,16703,657240
"Zack Wheeler","PHI",50,297,1203,0.26849543,10310,554430
"Lou Trivino","- - -",0,53.2,250,0.268,15043,642152
"Zac Gallen","ARI",56,339.2,1334,0.26761619,19291,668678
"Edward Cabrera","MIA",31,148.2,628,0.26751592,21690,665795
"Adam Ottavino","NYM",0,113.2,460,0.2673913,1247,493603
"Jordan Hicks","- - -",8,109.2,479,0.26722338,19618,663855
"Austin Adams","- - -",0,19.2,90,0.26666667,13801,613534
"Nick Burdi","CHC",0,3,15,0.26666667,16074,595897
"Hunter Brown","HOU",24,145.2,601,0.26622296,25880,686613
"Clay Holmes","NYY",0,109.2,451,0.26607539,13649,605280
"Joely Rodríguez","- - -",0,61.1,267,0.2659176,11487,570257
"Gavin Williams","CLE",10,54.2,222,0.26576577,30122,668909
"Caleb Ferguson","LAD",2,79,339,0.26548673,19349,657571
"Trevor Megill","- - -",0,62.2,275,0.26545455,17722,656730
"Aaron Ashby","MIL",19,107.1,475,0.26526316,23550,676879
"Sam Moll","- - -",1,87.2,381,0.26509186,14874,594580
"Jay Jackson","- - -",0,22,83,0.26506024,7432,543351
"Brooks Raley","- - -",0,95,400,0.265,10061,548384
