Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,under,under_odds,x_under,under_diff,bet_over,bet_under,commence_time
Edward Cabrera,R,MIA,ARI,4.94,5.5,116.0,0.463,0.374,-0.089,-148.0,0.597,0.626,0.029,0,1,2023-05-10 15:40:00
Merrill Kelly,R,ARI,MIA,5.6,5.5,130.0,0.435,0.488,0.053,-166.0,0.624,0.512,-0.112,1,0,2023-05-10 15:40:00
Luis Castillo,R,SEA,TEX,6.78,6.5,-154.0,0.606,0.516,-0.09,120.0,0.455,0.484,0.029,0,1,2023-05-10 15:40:00
Josiah Gray,R,WAS,SFG,6.41,5.5,104.0,0.49,0.617,0.127,-132.0,0.569,0.383,-0.186,1,0,2023-05-10 15:45:00
Sean Manaea,L,SFG,WAS,4.5,4.5,-154.0,0.606,0.467,-0.139,120.0,0.455,0.533,0.078,0,1,2023-05-10 15:45:00
Kevin Gausman,R,TOR,PHI,7.22,6.5,-134.0,0.573,0.583,0.01,104.0,0.49,0.417,-0.073,0,0,2023-05-10 16:05:00
Zack Wheeler,R,PHI,TOR,5.78,6.5,-108.0,0.519,0.359,-0.16,-118.0,0.541,0.641,0.1,0,1,2023-05-10 16:05:00
Cristian Javier,R,HOU,LAA,6.98,6.5,106.0,0.485,0.548,0.063,-134.0,0.573,0.452,-0.121,1,0,2023-05-10 16:07:00
Griffin Canning,R,LAA,HOU,4.28,4.5,-138.0,0.58,0.425,-0.155,108.0,0.481,0.575,0.094,0,1,2023-05-10 16:07:00
Dean Kremer,R,NYM,CIN,4.34,4.5,120.0,0.455,0.437,-0.018,-152.0,0.603,0.563,-0.04,0,0,2023-05-10 18:35:00
Justin Verlander,R,CIN,NYM,5.86,6.5,102.0,0.495,0.371,-0.124,-130.0,0.565,0.629,0.064,0,1,2023-05-10 18:40:00
Hunter Greene,R,BOS,ATL,7.05,5.5,-158.0,0.612,0.706,0.094,124.0,0.446,0.294,-0.152,1,0,2023-05-10 18:40:00
Brayan Bello,R,ATL,BOS,4.36,4.5,-108.0,0.519,0.441,-0.078,-116.0,0.537,0.559,0.022,0,1,2023-05-10 19:20:00
Jordan Montgomery,L,CHC,STL,4.74,5.5,-116.0,0.537,0.338,-0.199,-110.0,0.524,0.662,0.138,0,1,2023-05-10 19:40:00
Justin Steele,L,CHW,KCR,5.45,5.5,112.0,0.472,0.463,-0.009,-144.0,0.59,0.537,-0.053,0,0,2023-05-10 19:40:00
Lance Lynn,R,KCR,CHW,6.07,5.5,-144.0,0.59,0.566,-0.024,112.0,0.472,0.434,-0.038,0,0,2023-05-10 19:40:00
Brad Keller,R,SDP,MIN,4.96,2.5,-182.0,0.645,0.872,0.227,142.0,0.413,0.128,-0.285,1,0,2023-05-10 19:40:00
Seth Lugo,R,MIN,SDP,17.41,5.5,112.0,0.472,0.776,0.304,-142.0,0.587,0.001,-0.586,1,0,2023-05-10 19:40:00
Kodai Senga,R,NYM,CIN,6.4,5.5,122.0,0.45,0.617,0.167,-156.0,0.609,0.383,-0.226,1,0,2023-05-11 12:35:00
Yu Darvish,R,MIN,SDP,6.89,6.5,-112.0,0.528,0.534,0.006,-112.0,0.528,0.466,-0.062,0,0,2023-05-11 13:10:00
Bailey Ober,R,CHW,KCR,4.92,4.5,-136.0,0.576,0.545,-0.031,106.0,0.485,0.455,-0.03,0,0,2023-05-11 13:10:00
Mike Clevinger,R,KCR,CHW,4.21,4.5,-116.0,0.537,0.411,-0.126,-112.0,0.528,0.589,0.061,0,1,2023-05-11 14:10:00
Brady Singer,R,TBR,NYY,5.7,4.5,118.0,0.459,0.672,0.213,-150.0,0.6,0.328,-0.272,1,0,2023-05-11 14:10:00
Drew Rasmussen,R,NYY,TBR,4.63,4.5,-148.0,0.597,0.492,-0.105,116.0,0.463,0.508,0.045,0,1,2023-05-11 19:05:00
