,Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,under,under_odds,x_under,under_diff,bet_over,bet_under,commence_time,SO,IP,win,wager_return
4,Johan Oviedo,R,PIT,BAL,5.46,4.5,126.0,0.442,0.636,0.194,-160.0,0.615,0.364,-0.251,1,0,2023-05-12 19:05:00,3,5.0,False,-100.0
6,Spencer Strider,R,TOR,ATL,10.39,8.5,110.0,0.476,0.707,0.231,-140.0,0.583,0.291,-0.292,1,0,2023-05-12 19:07:00,12,6.2,True,110.0
8,Adam Wainwright,R,BOS,STL,4.16,3.5,110.0,0.476,0.597,0.121,-140.0,0.583,0.403,-0.18,1,0,2023-05-12 19:10:00,2,5.0,False,-100.0
9,Tyler Anderson,L,CLE,LAA,4.58,3.5,-154.0,0.606,0.671,0.065,120.0,0.455,0.329,-0.126,1,0,2023-05-12 19:10:00,1,6.0,False,-100.0
10,Logan Allen,L,HOU,CHW,6.2,4.5,-138.0,0.58,0.74,0.16,108.0,0.481,0.26,-0.221,1,0,2023-05-12 19:10:00,5,4.1,True,72.46
13,Corbin Burnes,R,CHC,MIN,7.72,6.5,-126.0,0.558,0.651,0.093,-102.0,0.505,0.349,-0.156,1,0,2023-05-12 20:10:00,7,6.0,True,79.37
16,Taijuan Walker,R,COL,PHI,4.89,3.5,-152.0,0.603,0.719,0.116,120.0,0.455,0.281,-0.174,1,0,2023-05-12 20:40:00,3,6.0,False,-100.0
18,Martin Perez,L,SDP,LAD,5.38,4.5,-112.0,0.528,0.623,0.095,-112.0,0.528,0.377,-0.151,1,0,2023-05-12 21:40:00,3,5.0,False,-100.0
0,Shane McClanahan,L,TBR,NYY,6.73,6.5,108.0,0.481,0.509,0.028,-136.0,0.576,0.491,-0.085,1,0,2023-05-13 13:05:00,3,4.0,False,-100.0
1,Nestor Cortes,L,NYY,TBR,5.57,4.5,-122.0,0.55,0.653,0.103,-102.0,0.505,0.347,-0.158,1,0,2023-05-13 13:05:00,3,4.1,False,-100.0
2,Bryce Miller,R,SEA,DET,8.14,5.5,106.0,0.485,0.821,0.336,-134.0,0.573,0.179,-0.394,1,0,2023-05-13 13:10:00,3,7.0,False,-100.0
4,Hayden Wesneski,R,CHC,MIN,5.68,4.5,114.0,0.467,0.669,0.202,-146.0,0.593,0.331,-0.262,1,0,2023-05-13 14:10:00,5,5.0,True,114.0
6,Bryce Elder,R,ATL,TOR,4.93,4.5,114.0,0.467,0.547,0.08,-146.0,0.593,0.453,-0.14,1,0,2023-05-13 15:07:00,3,5.0,False,-100.0
19,Joe Musgrove,R,SDP,LAD,6.36,5.5,104.0,0.49,0.611,0.121,-132.0,0.569,0.389,-0.18,1,0,2023-05-13 19:15:00,5,5.2,False,-100.0
20,Julio Urias,L,LAD,SDP,5.76,4.5,-146.0,0.593,0.682,0.089,116.0,0.463,0.318,-0.145,1,0,2023-05-13 19:15:00,4,7.0,False,-100.0
25,Ranger Suarez,L,PHI,COL,4.56,3.5,-106.0,0.515,0.667,0.152,-120.0,0.545,0.333,-0.212,1,0,2023-05-13 20:10:00,4,4.0,True,94.34
26,Ryan Feltner,R,COL,PHI,4.79,3.5,-140.0,0.583,0.704,0.121,110.0,0.476,0.296,-0.18,1,0,2023-05-13 20:10:00,0,1.2,False,-100.0
2,Zach Eflin,R,TBR,NYY,5.04,4.5,-106.0,0.515,0.566,0.051,-122.0,0.55,0.434,-0.116,1,0,2023-05-14 13:35:00,9,6.0,True,94.34
6,Yusei Kikuchi,L,TOR,ATL,6.04,5.5,100.0,0.5,0.561,0.061,-128.0,0.561,0.439,-0.122,1,0,2023-05-14 13:37:00,7,4.0,True,100.0
9,Luke Weaver,R,CIN,MIA,5.07,4.5,-102.0,0.505,0.573,0.068,-124.0,0.554,0.427,-0.127,1,0,2023-05-14 13:40:00,6,5.1,True,98.04
10,Braxton Garrett,L,MIA,CIN,5.62,4.5,-102.0,0.505,0.662,0.157,-126.0,0.558,0.338,-0.22,1,0,2023-05-14 13:40:00,8,5.0,True,98.04
16,Aaron Nola,R,PHI,COL,7.05,5.5,130.0,0.435,0.705,0.27,-166.0,0.624,0.295,-0.329,1,0,2023-05-14 15:10:00,4,7.0,False,-100.0
17,Kyle Freeland,L,COL,PHI,4.37,3.5,-116.0,0.537,0.635,0.098,-110.0,0.524,0.365,-0.159,1,0,2023-05-14 15:10:00,8,6.0,True,86.21
18,Andrew Heaney,L,TEX,OAK,7.53,6.5,-102.0,0.505,0.626,0.121,-124.0,0.554,0.374,-0.18,1,0,2023-05-14 16:07:00,9,6.0,True,98.04
19,Tony Gonsolin,R,LAD,SDP,5.0,4.5,-102.0,0.505,0.56,0.055,-126.0,0.558,0.44,-0.118,1,0,2023-05-14 16:10:00,6,5.0,True,98.04
24,Miles Mikolas,R,STL,BOS,4.35,3.5,-144.0,0.59,0.632,0.042,112.0,0.472,0.368,-0.104,1,0,2023-05-14 19:10:00,0,6.0,False,-100.0
2,Shohei Ohtani,R,LAA,BAL,7.53,7.5,120.0,0.455,0.48,0.025,-150.0,0.6,0.52,-0.08,1,0,2023-05-15 18:35:00,5,7.0,False,-100.0
5,George Kirby,R,SEA,BOS,4.69,4.5,130.0,0.435,0.504,0.069,-166.0,0.624,0.496,-0.128,1,0,2023-05-15 19:10:00,6,6.2,True,130.0
12,Hunter Greene,R,CIN,COL,6.84,5.5,-124.0,0.554,0.678,0.124,-102.0,0.505,0.321,-0.184,1,0,2023-05-15 20:40:00,8,4.0,True,80.65
13,Connor Seabold,R,COL,CIN,5.66,3.5,-112.0,0.528,0.816,0.288,-112.0,0.528,0.184,-0.344,1,0,2023-05-15 20:40:00,3,4.1,False,-100.0
14,Brad Keller,R,KCR,SDP,4.61,3.5,100.0,0.5,0.676,0.176,-128.0,0.561,0.324,-0.237,1,0,2023-05-15 21:40:00,2,3.2,False,-100.0
18,Alex Wood,L,MIN,LAD,5.16,3.5,-140.0,0.583,0.756,0.173,110.0,0.476,0.244,-0.232,1,0,2023-05-15 21:45:00,4,4.2,True,71.43
3,Josiah Gray,R,WAS,MIA,5.56,4.5,-116.0,0.537,0.653,0.116,-110.0,0.524,0.347,-0.177,1,0,2023-05-16 18:40:00,5,7.0,True,86.21
7,Luis Castillo,R,SEA,BOS,5.98,5.5,120.0,0.455,0.552,0.097,-152.0,0.603,0.448,-0.155,1,0,2023-05-16 19:10:00,6,5.0,True,120.0
8,Nick Pivetta,R,BOS,SEA,6.0,5.5,118.0,0.459,0.554,0.095,-150.0,0.6,0.446,-0.154,1,0,2023-05-16 19:10:00,6,5.1,True,118.0
11,Dane Dunning,R,TEX,ATL,5.19,3.5,-164.0,0.621,0.761,0.14,128.0,0.439,0.239,-0.2,1,0,2023-05-16 20:05:00,4,6.0,True,60.98
12,Justin Steele,L,CHC,HOU,4.86,4.5,110.0,0.476,0.535,0.059,-140.0,0.583,0.465,-0.118,1,0,2023-05-16 20:10:00,8,6.0,True,110.0
14,Brady Singer,R,KCR,SDP,6.08,4.5,-110.0,0.524,0.725,0.201,-116.0,0.537,0.275,-0.262,1,0,2023-05-16 21:40:00,3,6.0,False,-100.0
18,Alex Cobb,R,SFG,PHI,5.65,5.5,122.0,0.45,0.496,0.046,-156.0,0.609,0.504,-0.105,1,0,2023-05-16 21:45:00,3,3.1,False,-100.0
6,Taijuan Walker,R,PHI,SFG,5.19,4.5,-102.0,0.505,0.592,0.087,-124.0,0.554,0.408,-0.146,1,0,2023-05-17 15:45:00,1,0.2,False,-100.0
7,Ross Stripling,R,SFG,PHI,5.09,3.5,-120.0,0.545,0.747,0.202,-106.0,0.515,0.253,-0.262,1,0,2023-05-17 15:45:00,2,3.1,False,-100.0
15,Brayan Bello,R,BOS,SEA,5.57,5.5,122.0,0.45,0.484,0.034,-156.0,0.609,0.516,-0.093,1,0,2023-05-17 19:10:00,7,5.0,True,122.0
16,Spencer Strider,R,ATL,TEX,10.4,9.5,110.0,0.476,0.588,0.112,-140.0,0.583,0.409,-0.174,1,0,2023-05-17 20:05:00,7,5.0,False,-100.0
19,Drew Smyly,L,CHC,HOU,4.09,3.5,-108.0,0.519,0.584,0.065,-118.0,0.541,0.416,-0.125,1,0,2023-05-17 20:10:00,8,6.0,True,92.59
5,Nestor Cortes,L,NYY,TOR,5.2,4.5,-110.0,0.524,0.594,0.07,-116.0,0.537,0.406,-0.131,1,0,2023-05-18 19:07:00,6,6.0,True,90.91
8,Adam Wainwright,R,STL,LAD,4.59,3.5,-146.0,0.593,0.672,0.079,114.0,0.467,0.328,-0.139,1,0,2023-05-18 19:45:00,1,5.2,False,-100.0
1,Johan Oviedo,R,PIT,ARI,4.94,4.5,120.0,0.455,0.548,0.093,-154.0,0.606,0.452,-0.154,1,0,2023-05-19 18:35:00,7,6.0,True,120.0
10,Carlos Carrasco,R,NYM,CLE,4.36,3.5,100.0,0.5,0.633,0.133,-128.0,0.561,0.367,-0.194,1,0,2023-05-19 19:10:00,3,5.0,False,-100.0
15,Ken Waldichuk,L,OAK,HOU,4.42,3.5,-154.0,0.606,0.644,0.038,122.0,0.45,0.356,-0.094,1,0,2023-05-19 20:10:00,3,5.0,False,-100.0
21,James Paxton,L,BOS,SDP,9.45,5.5,-116.0,0.537,0.908,0.371,-110.0,0.524,0.091,-0.433,1,0,2023-05-19 21:40:00,5,6.0,False,-100.0
4,Jameson Taillon,R,CHC,PHI,4.92,3.5,-160.0,0.615,0.724,0.109,126.0,0.442,0.276,-0.166,1,0,2023-05-20 16:05:00,1,2.1,False,-100.0
5,Aaron Nola,R,PHI,CHC,6.91,6.5,100.0,0.5,0.537,0.037,-128.0,0.561,0.463,-0.098,1,0,2023-05-20 16:05:00,10,7.0,True,100.0
6,Braxton Garrett,L,MIA,SFG,5.87,4.5,-112.0,0.528,0.697,0.169,-112.0,0.528,0.303,-0.225,1,0,2023-05-20 16:05:00,8,6.1,True,89.29
12,JP Sears,L,OAK,HOU,4.75,4.5,110.0,0.476,0.514,0.038,-140.0,0.583,0.486,-0.097,1,0,2023-05-20 16:10:00,7,6.0,True,110.0
15,Miles Mikolas,R,STL,LAD,4.87,4.5,-106.0,0.515,0.536,0.021,-120.0,0.545,0.464,-0.081,1,0,2023-05-20 19:15:00,2,7.0,False,-100.0
0,Luis Severino,R,NYY,CIN,6.42,5.5,-102.0,0.505,0.619,0.114,-126.0,0.558,0.381,-0.177,1,0,2023-05-21 11:35:00,5,4.2,False,-100.0
6,George Kirby,R,SEA,ATL,5.43,4.5,-124.0,0.554,0.632,0.078,-102.0,0.505,0.368,-0.137,1,0,2023-05-21 13:35:00,6,7.0,True,80.65
11,Max Scherzer,R,NYM,CLE,5.92,5.5,100.0,0.5,0.541,0.041,-128.0,0.561,0.459,-0.102,1,0,2023-05-21 13:40:00,5,6.0,False,-100.0
17,Connor Seabold,R,COL,TEX,4.95,3.5,108.0,0.481,0.728,0.247,-136.0,0.576,0.272,-0.304,1,0,2023-05-21 14:35:00,5,3.2,True,108.0
18,Andrew Heaney,L,TEX,COL,7.22,6.5,-116.0,0.537,0.582,0.045,-108.0,0.519,0.418,-0.101,1,0,2023-05-21 14:35:00,5,6.0,False,-100.0
19,Jesus Luzardo,L,MIA,SFG,7.27,6.5,110.0,0.476,0.59,0.114,-140.0,0.583,0.41,-0.173,1,0,2023-05-21 16:05:00,8,5.0,True,110.0
20,Alex Wood,L,SFG,MIA,5.07,4.5,-110.0,0.524,0.571,0.047,-116.0,0.537,0.429,-0.108,1,0,2023-05-21 16:05:00,5,4.1,True,90.91
0,Dane Dunning,R,TEX,PIT,4.92,4.5,128.0,0.439,0.546,0.107,-164.0,0.621,0.454,-0.167,1,0,2023-05-22 18:35:00,3,5.2,False,-100.0
6,Charlie Morton,R,ATL,LAD,6.65,6.5,114.0,0.467,0.498,0.031,-146.0,0.593,0.502,-0.091,1,0,2023-05-22 19:20:00,5,5.0,False,-100.0
7,Michael Lorenzen,R,DET,KCR,4.9,4.5,108.0,0.481,0.541,0.06,-138.0,0.58,0.459,-0.121,1,0,2023-05-22 19:40:00,5,5.2,True,108.0
8,Brady Singer,R,KCR,DET,6.04,4.5,-142.0,0.587,0.72,0.133,112.0,0.472,0.28,-0.192,1,0,2023-05-22 19:40:00,3,3.2,False,-100.0
9,Cristian Javier,R,HOU,MIL,8.15,6.5,-108.0,0.519,0.704,0.185,-118.0,0.541,0.296,-0.245,1,0,2023-05-22 19:40:00,5,6.0,False,-100.0
10,Corbin Burnes,R,MIL,HOU,6.54,6.5,124.0,0.446,0.48,0.034,-158.0,0.612,0.52,-0.092,1,0,2023-05-22 19:40:00,5,5.0,False,-100.0
12,Edward Cabrera,R,MIA,COL,5.72,4.5,-140.0,0.583,0.676,0.093,110.0,0.476,0.324,-0.152,1,0,2023-05-22 20:40:00,6,6.0,True,71.43
0,Dylan Cease,R,CHW,CLE,5.72,5.5,124.0,0.446,0.509,0.063,-156.0,0.609,0.491,-0.118,1,0,2023-05-23 18:10:00,3,6.0,False,-100.0
7,Matt Strahm,L,PHI,ARI,5.39,4.5,132.0,0.431,0.625,0.194,-168.0,0.627,0.375,-0.252,1,0,2023-05-23 18:40:00,3,2.0,False,-100.0
11,MacKenzie Gore,L,WAS,SDP,6.16,5.5,-120.0,0.545,0.579,0.034,-106.0,0.515,0.421,-0.094,1,0,2023-05-23 19:05:00,5,4.2,False,-100.0
12,Spencer Strider,R,ATL,LAD,10.15,8.5,-116.0,0.537,0.682,0.145,-110.0,0.524,0.317,-0.207,1,0,2023-05-23 19:20:00,11,6.0,True,86.21
15,Alex Cobb,R,SFG,MIN,6.0,5.5,-104.0,0.51,0.555,0.045,-122.0,0.55,0.445,-0.105,1,0,2023-05-23 19:40:00,8,7.0,True,96.15
17,Austin Gomber,L,COL,MIA,3.53,3.5,132.0,0.431,0.471,0.04,-168.0,0.627,0.529,-0.098,1,0,2023-05-23 20:40:00,2,5.2,False,-100.0
0,Martin Perez,L,TEX,PIT,4.92,3.5,-158.0,0.612,0.724,0.112,124.0,0.446,0.276,-0.17,1,0,2023-05-24 12:35:00,3,7.0,False,-100.0
1,Johan Oviedo,R,PIT,TEX,5.84,4.5,-118.0,0.541,0.693,0.152,-106.0,0.515,0.307,-0.208,1,0,2023-05-24 12:35:00,5,5.2,True,84.75
2,Zac Gallen,R,ARI,PHI,6.76,6.5,108.0,0.481,0.514,0.033,-138.0,0.58,0.486,-0.094,1,0,2023-05-24 13:05:00,3,5.2,False,-100.0
8,Brandon Bielak,R,HOU,MIL,5.26,4.5,114.0,0.467,0.603,0.136,-144.0,0.59,0.397,-0.193,1,0,2023-05-24 13:10:00,3,6.2,False,-100.0
11,Yusei Kikuchi,L,TOR,TBR,5.52,4.5,116.0,0.463,0.645,0.182,-146.0,0.593,0.355,-0.238,1,0,2023-05-24 18:40:00,5,5.0,True,116.0
13,Trevor Williams,R,WAS,SDP,4.29,3.5,-136.0,0.576,0.622,0.046,108.0,0.481,0.378,-0.103,1,0,2023-05-24 19:05:00,5,5.2,True,73.53
16,Tony Gonsolin,R,LAD,ATL,4.91,4.5,-102.0,0.505,0.543,0.038,-124.0,0.554,0.457,-0.097,1,0,2023-05-24 19:20:00,4,5.2,False,-100.0
17,Bryce Elder,R,ATL,LAD,5.24,4.5,106.0,0.485,0.601,0.116,-134.0,0.573,0.399,-0.174,1,0,2023-05-24 19:20:00,6,6.0,True,106.0
20,James Paxton,L,BOS,LAA,6.93,5.5,-118.0,0.541,0.69,0.149,-106.0,0.515,0.31,-0.205,1,0,2023-05-24 21:38:00,5,3.0,False,-100.0
0,Miles Mikolas,R,STL,CIN,4.98,4.5,-112.0,0.528,0.556,0.028,-112.0,0.528,0.444,-0.084,1,0,2023-05-25 12:35:00,5,7.0,True,89.29
4,Braxton Garrett,L,MIA,COL,5.43,4.5,120.0,0.455,0.632,0.177,-152.0,0.603,0.368,-0.235,1,0,2023-05-25 15:10:00,3,5.0,False,-100.0
5,Kyle Freeland,L,COL,MIA,4.13,3.5,140.0,0.417,0.591,0.174,-180.0,0.643,0.409,-0.234,1,0,2023-05-25 15:10:00,4,5.0,True,140.0
7,Lucas Giolito,R,CHW,DET,6.23,5.5,-132.0,0.569,0.591,0.022,104.0,0.49,0.409,-0.081,1,0,2023-05-25 18:40:00,4,3.2,False,-100.0
11,Aaron Nola,R,PHI,ATL,7.04,5.5,-110.0,0.524,0.705,0.181,-116.0,0.537,0.295,-0.242,1,0,2023-05-25 19:20:00,7,6.0,True,90.91
12,Carlos Carrasco,R,NYM,CHC,5.13,4.5,-108.0,0.519,0.583,0.064,-118.0,0.541,0.417,-0.124,1,0,2023-05-25 19:40:00,4,6.2,False,-100.0
6,Joe Musgrove,R,SDP,NYY,5.94,5.5,-104.0,0.51,0.544,0.034,-122.0,0.55,0.456,-0.094,1,0,2023-05-26 19:05:00,6,6.1,True,96.15
9,Taijuan Walker,R,PHI,ATL,4.58,4.5,130.0,0.435,0.483,0.048,-166.0,0.624,0.517,-0.107,1,0,2023-05-26 19:20:00,1,6.2,False,-100.0
16,Max Scherzer,R,NYM,COL,6.84,5.5,120.0,0.455,0.678,0.223,-152.0,0.603,0.322,-0.281,1,0,2023-05-26 20:40:00,8,7.0,True,120.0
17,Connor Seabold,R,COL,NYM,4.28,3.5,128.0,0.439,0.619,0.18,-164.0,0.621,0.381,-0.24,1,0,2023-05-26 20:40:00,2,4.2,False,-100.0
18,Jesus Luzardo,L,MIA,LAA,6.48,5.5,-154.0,0.606,0.628,0.022,120.0,0.455,0.372,-0.083,1,0,2023-05-26 21:38:00,7,5.0,True,64.94
20,Hunter Brown,R,HOU,OAK,7.84,6.5,120.0,0.455,0.667,0.212,-152.0,0.603,0.333,-0.27,1,0,2023-05-26 21:40:00,10,7.0,True,120.0
0,Andrew Heaney,L,TEX,BAL,6.81,5.5,-122.0,0.55,0.674,0.124,-106.0,0.515,0.326,-0.189,1,0,2023-05-27 16:05:00,3,7.0,False,-100.0
1,Clayton Kershaw,L,LAD,TBR,7.07,6.5,100.0,0.5,0.561,0.061,-128.0,0.561,0.439,-0.122,1,0,2023-05-27 16:10:00,6,5.0,False,-100.0
2,Brandon Williamson,L,CIN,CHC,5.16,4.5,114.0,0.467,0.586,0.119,-144.0,0.59,0.414,-0.176,1,0,2023-05-27 19:15:00,3,4.1,False,-100.0
3,Michael Wacha,R,SDP,NYY,4.99,4.5,106.0,0.485,0.558,0.073,-134.0,0.573,0.442,-0.131,1,0,2023-05-27 13:05:00,4,7.0,False,-100.0
5,Jesse Scholtens,R,CHW,DET,5.16,4.5,-102.0,0.505,0.586,0.081,-124.0,0.554,0.414,-0.14,1,0,2023-05-27 13:10:00,3,4.2,False,-100.0
14,Brady Singer,R,KCR,WAS,6.25,4.5,122.0,0.45,0.747,0.297,-156.0,0.609,0.253,-0.356,1,0,2023-05-27 16:10:00,6,5.0,True,122.0
0,Cody Bradford,L,TEX,BAL,4.9,4.5,122.0,0.45,0.542,0.092,-154.0,0.606,0.458,-0.148,1,0,2023-05-28 13:35:00,5,5.0,True,122.0
6,Austin Gomber,L,COL,NYM,5.11,2.5,-176.0,0.638,0.884,0.246,138.0,0.42,0.116,-0.304,1,0,2023-05-28 15:10:00,3,4.0,True,56.82
10,Yu Darvish,R,SDP,NYY,6.98,5.5,-142.0,0.587,0.696,0.109,112.0,0.472,0.304,-0.168,1,0,2023-05-28 13:35:00,2,2.2,False,-100.0
14,Alex Cobb,R,SFG,MIL,5.93,5.5,106.0,0.485,0.543,0.058,-136.0,0.576,0.457,-0.119,1,0,2023-05-28 14:10:00,5,4.0,False,-100.0
17,Bailey Ober,R,MIN,TOR,5.38,4.5,-148.0,0.597,0.624,0.027,116.0,0.463,0.376,-0.087,1,0,2023-05-28 14:10:00,7,5.0,True,67.57
21,Cristian Javier,R,HOU,OAK,7.41,6.5,-130.0,0.565,0.61,0.045,104.0,0.49,0.39,-0.1,1,0,2023-05-28 16:07:00,3,5.0,False,-100.0
25,Dylan Covey,R,PHI,ATL,4.83,3.5,-110.0,0.524,0.71,0.186,-116.0,0.537,0.29,-0.247,1,0,2023-05-28 19:10:00,0,0.2,False,-100.0
26,Spencer Strider,R,ATL,PHI,10.25,8.5,-136.0,0.576,0.693,0.117,106.0,0.485,0.305,-0.18,1,0,2023-05-28 19:10:00,9,6.0,True,73.53
6,Karl Kauffmann,R,COL,ARI,4.48,3.5,124.0,0.446,0.654,0.208,-158.0,0.612,0.346,-0.266,1,0,2023-05-29 16:10:00,1,4.0,False,-100.0
8,Sonny Gray,R,MIN,HOU,6.12,5.5,-102.0,0.505,0.574,0.069,-124.0,0.554,0.426,-0.128,1,0,2023-05-29 16:10:00,3,6.0,False,-100.0
11,Paul Blackburn,R,OAK,ATL,4.98,3.5,-118.0,0.541,0.732,0.191,-108.0,0.519,0.268,-0.251,1,0,2023-05-29 20:07:00,6,4.0,True,84.75
0,Martin Perez,L,TEX,DET,4.77,4.5,106.0,0.485,0.518,0.033,-134.0,0.573,0.482,-0.091,1,0,2023-05-30 18:40:00,3,4.2,False,-100.0
2,Ranger Suarez,L,PHI,NYM,4.88,4.5,114.0,0.467,0.539,0.072,-144.0,0.59,0.461,-0.129,1,0,2023-05-30 19:10:00,4,6.2,False,-100.0
6,Kyle Freeland,L,COL,ARI,4.57,3.5,-102.0,0.505,0.669,0.164,-126.0,0.558,0.331,-0.227,1,0,2023-05-30 21:40:00,1,5.2,False,-100.0
11,Kyle Gibson,R,BAL,CLE,4.31,3.5,-138.0,0.58,0.625,0.045,108.0,0.481,0.375,-0.106,1,0,2023-05-30 19:05:00,3,5.2,False,-100.0
12,Ben Lively,R,CIN,BOS,5.41,3.5,-102.0,0.505,0.788,0.283,-126.0,0.558,0.212,-0.346,1,0,2023-05-30 19:10:00,6,5.2,True,98.04
16,Kyle Hendricks,R,CHC,TBR,4.3,3.5,-126.0,0.558,0.624,0.066,-102.0,0.505,0.376,-0.129,1,0,2023-05-30 20:05:00,3,5.0,False,-100.0
17,Joe Ryan,R,MIN,HOU,6.84,6.5,106.0,0.485,0.527,0.042,-134.0,0.573,0.473,-0.1,1,0,2023-05-30 20:10:00,6,4.0,False,-100.0
1,Justin Steele,L,CHC,TBR,5.76,4.5,108.0,0.481,0.682,0.201,-138.0,0.58,0.318,-0.262,1,0,2023-05-31 14:20:00,1,3.0,False,-100.0
3,Alex Wood,L,SFG,PIT,5.78,4.5,-166.0,0.624,0.684,0.06,130.0,0.435,0.316,-0.119,1,0,2023-05-31 15:45:00,4,4.1,False,-100.0
5,Blake Snell,L,SDP,MIA,6.59,5.5,100.0,0.5,0.644,0.144,-128.0,0.561,0.356,-0.205,1,0,2023-05-31 18:40:00,7,6.0,True,100.0
7,James Paxton,L,BOS,CIN,6.18,5.5,-110.0,0.524,0.583,0.059,-116.0,0.537,0.417,-0.12,1,0,2023-05-31 19:10:00,8,5.0,True,90.91
9,Dane Dunning,R,TEX,DET,5.0,4.5,-104.0,0.51,0.56,0.05,-122.0,0.55,0.44,-0.11,1,0,2023-05-31 13:10:00,6,5.0,True,96.15
