name,over,under,prop_k,commence_time
Kyle Gibson,124,-156,4.5,2023-05-19 19:07:00
Marcus Stroman,-138,108,4.5,2023-05-19 19:05:00
Martin Perez,118,-150,5.5,2023-05-19 20:05:00
Matt Boyd,-122,-104,4.5,2023-05-19 19:05:00
Michael Kopech,-122,-102,5.5,2023-05-19 20:10:00
Ranger Suarez,-130,104,4.5,2023-05-19 19:05:00
Reid Detmers,-150,118,5.5,2023-05-19 21:38:00
Sandy Alcantara,106,-134,6.5,2023-05-19 22:15:00
Shane McClanahan,-138,108,7.5,2023-05-19 18:40:00
Steven Matz,-148,116,4.5,2023-05-19 20:15:00
Tony Gonsolin,110,-140,4.5,2023-05-19 20:15:00
Yusei Kikuchi,104,-130,5.5,2023-05-19 19:07:00
Zac Gallen,-118,-108,6.5,2023-05-19 18:35:00
Zack Greinke,124,-158,3.5,2023-05-19 20:10:00
Aaron Nola,100,-128,6.5,2023-05-20 16:05:00
Alek Manoah,-136,108,4.5,2023-05-20 15:07:00
Alex Faedo,-106,-120,3.5,2023-05-20 16:05:00
Brandon Pfaadt,102,-128,4.5,2023-05-20 16:05:00
Braxton Garrett,-112,-112,4.5,2023-05-20 16:05:00
Chris Sale,-136,108,5.5,2023-05-20 22:10:00
Grayson Rodriguez,-140,110,4.5,2023-05-20 15:07:00
Hunter Brown,-122,-104,6.5,2023-05-20 16:10:00
JP Sears,110,-140,4.5,2023-05-20 16:10:00
Jameson Taillon,-160,126,3.5,2023-05-20 16:05:00
Joe Musgrove,102,-128,5.5,2023-05-20 22:10:00
Jon Gray,-156,124,5.5,2023-05-20 16:05:00
Jordan Lyles,-104,-122,4.5,2023-05-20 14:10:00
Kyle Freeland,-102,-124,4.5,2023-05-20 16:05:00
Logan Webb,-116,-110,5.5,2023-05-20 16:05:00
Louie Varland,102,-128,5.5,2023-05-20 22:07:00
Lucas Giolito,-126,-102,6.5,2023-05-20 14:10:00
Max Scherzer,-126,-102,5.5,2023-05-20 16:10:00
Miles Mikolas,-106,-120,4.5,2023-05-20 19:15:00
Mitch Keller,-110,-116,5.5,2023-05-20 16:05:00
Noah Syndergaard,112,-142,3.5,2023-05-20 19:15:00
Patrick Corbin,116,-148,4.5,2023-05-20 16:05:00
Patrick Sandoval,-118,-108,5.5,2023-05-20 22:07:00
Tanner Bibee,114,-144,4.5,2023-05-20 16:10:00
Alex Wood,-110,-116,4.5,2023-05-21 16:05:00
Andrew Heaney,-116,-108,6.5,2023-05-21 14:35:00
Clayton Kershaw,120,-152,6.5,2023-05-21 14:15:00
Connor Seabold,108,-136,3.5,2023-05-21 14:35:00
Corey Kluber,104,-134,4.5,2023-05-21 16:10:00
Dean Kremer,132,-168,4.5,2023-05-21 13:37:00
Framber Valdez,120,-154,7.5,2023-05-21 14:10:00
Freddy Peralta,-140,110,5.5,2023-05-21 13:40:00
George Kirby,-124,-102,4.5,2023-05-21 13:35:00
Hunter Greene,-112,-116,6.5,2023-05-21 11:35:00
Jack Flaherty,130,-166,5.5,2023-05-21 14:15:00
James Kaprielian,132,-168,4.5,2023-05-21 14:10:00
Jared Shuster,118,-150,4.5,2023-05-21 13:35:00
Jesus Luzardo,110,-140,6.5,2023-05-21 16:05:00
Joey Wentz,110,-140,4.5,2023-05-21 13:35:00
Josiah Gray,100,-128,5.5,2023-05-21 13:35:00
Justin Steele,-124,-102,5.5,2023-05-21 13:35:00
Kevin Gausman,-122,-104,6.5,2023-05-21 13:37:00
Luis Severino,-102,-126,5.5,2023-05-21 11:35:00
Max Scherzer,100,-128,5.5,2023-05-21 13:40:00
Merrill Kelly,104,-134,5.5,2023-05-21 13:35:00
Michael Wacha,108,-138,4.5,2023-05-21 16:10:00
Pablo Lopez,114,-146,7.5,2023-05-21 16:07:00
Roansy Contreras,-146,116,3.5,2023-05-21 13:35:00
Shohei Ohtani,-118,-108,8.5,2023-05-21 16:07:00
Taijuan Walker,-118,-108,4.5,2023-05-21 13:35:00
Tanner Bibee,-110,-116,4.5,2023-05-21 13:40:00
Bailey Ober,-112,-112,5.5,2023-05-22 19:40:00
Brady Singer,-142,112,4.5,2023-05-22 19:40:00
Brandon Williamson,128,-164,4.5,2023-05-22 18:40:00
Charlie Morton,114,-146,6.5,2023-05-22 19:20:00
Chris Bassitt,-150,118,4.5,2023-05-22 18:40:00
Corbin Burnes,124,-158,6.5,2023-05-22 19:40:00
Cristian Javier,-108,-118,6.5,2023-05-22 19:40:00
Dane Dunning,128,-164,4.5,2023-05-22 18:35:00
Edward Cabrera,-140,110,4.5,2023-05-22 20:40:00
Gavin Stone,-128,100,3.5,2023-05-22 19:20:00
Jordan Montgomery,-102,-126,5.5,2023-05-22 18:40:00
Kyle Muller,-110,-116,4.5,2023-05-22 21:40:00
Luis Castillo,-132,104,7.5,2023-05-22 21:40:00
Luis Ortiz,134,-172,4.5,2023-05-22 18:35:00
Michael Lorenzen,108,-138,4.5,2023-05-22 19:40:00
Tanner Houck,-130,102,4.5,2023-05-22 21:38:00
Tommy Henry,134,-172,4.5,2023-05-22 18:40:00
Zack Wheeler,-108,-118,6.5,2023-05-22 18:40:00
Adam Wainwright,-106,-122,4.5,2023-05-23 18:40:00
Alex Cobb,-104,-122,5.5,2023-05-23 19:40:00
Austin Gomber,132,-168,3.5,2023-05-23 20:40:00
Bobby Miller,-172,134,3.5,2023-05-23 19:20:00
Brayan Bello,108,-138,5.5,2023-05-23 21:38:00
Colin Rea,-118,-108,3.5,2023-05-23 19:40:00
Drew Smyly,-104,-122,4.5,2023-05-23 19:40:00
Dylan Cease,124,-156,5.5,2023-05-23 18:10:00
Eury Perez,130,-166,4.5,2023-05-23 20:40:00
Gerrit Cole,104,-134,7.5,2023-05-23 19:05:00
Graham Ashcraft,-160,126,3.5,2023-05-23 18:40:00
Griffin Canning,100,-128,4.5,2023-05-23 21:38:00
J.P. France,-108,-118,4.5,2023-05-23 19:40:00
Jose Berrios,-140,110,4.5,2023-05-23 18:40:00
Kodai Senga,-152,120,5.5,2023-05-23 19:40:00
Kyle Bradish,126,-160,5.5,2023-05-23 19:05:00
Logan Allen,128,-164,5.5,2023-05-23 18:10:00
Luis Medina,-128,102,4.5,2023-05-23 21:40:00
MacKenzie Gore,-120,-106,5.5,2023-05-23 19:05:00
Marco Gonzales,108,-138,4.5,2023-05-23 21:40:00
Matt Strahm,132,-168,4.5,2023-05-23 18:40:00
Nathan Eovaldi,-156,124,5.5,2023-05-23 18:35:00
Rich Hill,-140,110,4.5,2023-05-23 18:35:00
Ryne Nelson,-166,130,3.5,2023-05-23 18:40:00
Sonny Gray,104,-134,6.5,2023-05-23 19:40:00
Spencer Strider,-116,-110,8.5,2023-05-23 19:20:00
Taj Bradley,-164,128,4.5,2023-05-23 18:40:00
Yu Darvish,-122,-104,5.5,2023-05-23 19:05:00
Adrian Houser,104,-134,3.5,2023-05-24 13:10:00
Anthony DeSclafani,120,-152,5.5,2023-05-24 13:10:00
Brandon Bielak,114,-144,4.5,2023-05-24 13:10:00
Bryce Elder,106,-134,4.5,2023-05-24 19:20:00
Bryce Miller,-144,114,5.5,2023-05-24 21:40:00
Cal Quantrill,112,-142,4.5,2023-05-24 13:10:00
James Paxton,-118,-106,5.5,2023-05-24 21:38:00
Joe Ryan,-122,-104,6.5,2023-05-24 13:10:00
Johan Oviedo,-118,-106,4.5,2023-05-24 12:35:00
Ken Waldichuk,122,-154,5.5,2023-05-24 21:40:00
Martin Perez,-158,124,3.5,2023-05-24 12:35:00
Matt Boyd,-108,-118,4.5,2023-05-24 19:40:00
Michael Kopech,-110,-116,4.5,2023-05-24 13:10:00
Nestor Cortes,-144,114,5.5,2023-05-24 19:05:00
Ranger Suarez,118,-150,4.5,2023-05-24 13:05:00
Sandy Alcantara,114,-144,5.5,2023-05-24 20:40:00
Shane McClanahan,-146,114,5.5,2023-05-24 18:40:00
Steven Matz,106,-134,5.5,2023-05-24 18:40:00
Tony Gonsolin,-102,-124,4.5,2023-05-24 19:20:00
Trevor Williams,-136,108,3.5,2023-05-24 19:05:00
Tyler Anderson,110,-140,4.5,2023-05-24 21:38:00
Tyler Wells,-134,106,4.5,2023-05-24 19:05:00
Yusei Kikuchi,116,-146,4.5,2023-05-24 18:40:00
Zac Gallen,108,-138,6.5,2023-05-24 13:05:00
Zack Greinke,-102,-124,3.5,2023-05-24 19:40:00
Aaron Nola,-110,-116,5.5,2023-05-25 19:20:00
Alek Manoah,128,-164,5.5,2023-05-25 13:10:00
Alex Faedo,108,-138,4.5,2023-05-25 18:40:00
Blake Snell,-148,116,5.5,2023-05-25 16:05:00
Braxton Garrett,120,-152,4.5,2023-05-25 15:10:00
Carlos Carrasco,-108,-118,4.5,2023-05-25 19:40:00
Clarke Schmidt,-160,126,4.5,2023-05-25 19:05:00
Dylan Dodd,-172,134,3.5,2023-05-25 19:20:00
JP Sears,-122,-104,5.5,2023-05-25 21:40:00
Jake Irvin,-156,122,3.5,2023-05-25 16:05:00
Kyle Freeland,140,-180,3.5,2023-05-25 15:10:00
Kyle Gibson,-108,-118,4.5,2023-05-25 19:05:00
Kyle Hendricks,-136,108,3.5,2023-05-25 19:40:00
Logan Gilbert,114,-146,7.5,2023-05-25 21:40:00
Lucas Giolito,-132,104,5.5,2023-05-25 18:40:00
Luke Weaver,-110,-116,4.5,2023-05-25 12:35:00
Miles Mikolas,-112,-112,4.5,2023-05-25 12:35:00
Zach Eflin,-160,126,4.5,2023-05-25 13:10:00
Alex Wood,-108,-118,5.5,2023-05-26 20:10:00
Brandon Pfaadt,-118,-108,3.5,2023-05-26 21:40:00
Chris Sale,112,-142,6.5,2023-05-26 21:40:00
Connor Seabold,128,-164,3.5,2023-05-26 20:40:00
Freddy Peralta,-118,-106,6.5,2023-05-26 20:10:00
George Kirby,-116,-110,5.5,2023-05-26 22:10:00
Grayson Rodriguez,-104,-122,5.5,2023-05-26 19:05:00
Hunter Brown,120,-152,6.5,2023-05-26 21:40:00
Hunter Greene,-104,-122,7.5,2023-05-26 14:20:00
James Kaprielian,110,-140,4.5,2023-05-26 21:40:00
Jared Shuster,-110,-116,4.5,2023-05-26 19:20:00
Jesus Luzardo,-154,120,5.5,2023-05-26 21:38:00
Joe Musgrove,-104,-122,5.5,2023-05-26 19:05:00
Joey Wentz,100,-128,4.5,2023-05-26 18:40:00
Jon Gray,-118,-108,4.5,2023-05-26 19:05:00
Jordan Lyles,-108,-118,3.5,2023-05-26 20:10:00
Justin Steele,-122,-106,5.5,2023-05-26 14:20:00
Kevin Gausman,-152,120,7.5,2023-05-26 20:10:00
Lance Lynn,-108,-118,6.5,2023-05-26 18:40:00
Louie Varland,-156,124,4.5,2023-05-26 20:10:00
Matthew Liberatore,130,-166,4.5,2023-05-26 19:10:00
Max Scherzer,120,-152,5.5,2023-05-26 20:40:00
Mitch Keller,-116,-110,6.5,2023-05-26 22:10:00
Noah Syndergaard,-122,-106,3.5,2023-05-26 18:40:00
Patrick Corbin,-142,112,3.5,2023-05-26 20:10:00
Randy Vasquez,-160,128,3.5,2023-05-26 19:05:00
Reid Detmers,-160,126,5.5,2023-05-26 21:38:00
Shane Bieber,-102,-126,5.5,2023-05-26 19:10:00
Taijuan Walker,130,-166,4.5,2023-05-26 19:20:00
Andrew Heaney,-122,-106,5.5,2023-05-27 16:05:00
Brady Singer,122,-156,4.5,2023-05-27 16:10:00
Brandon Williamson,114,-144,4.5,2023-05-27 19:15:00
Charlie Morton,-128,100,6.5,2023-05-27 16:10:00
Chris Bassitt,-110,-116,5.5,2023-05-27 14:10:00
Clayton Kershaw,100,-128,6.5,2023-05-27 16:10:00
Corbin Burnes,114,-144,7.5,2023-05-27 16:10:00
Dean Kremer,130,-166,5.5,2023-05-27 16:05:00
Garrett Whitlock,-160,126,3.5,2023-05-27 19:15:00
Jack Flaherty,-122,-104,4.5,2023-05-27 19:15:00
Jameson Taillon,-112,-112,4.5,2023-05-27 19:15:00
Jesse Scholtens,-102,-124,4.5,2023-05-27 13:10:00
Josiah Gray,-130,102,4.5,2023-05-27 16:10:00
Justin Verlander,106,-134,5.5,2023-05-27 21:10:00
Logan Webb,-116,-112,5.5,2023-05-27 16:10:00
Luis Castillo,112,-144,7.5,2023-05-27 16:10:00
Luis Severino,-128,100,5.5,2023-05-27 13:05:00
Michael Lorenzen,-168,130,4.5,2023-05-27 13:10:00
Michael Wacha,106,-134,4.5,2023-05-27 13:05:00
Pablo Lopez,-106,-118,6.5,2023-05-27 14:10:00
Roansy Contreras,128,-164,5.5,2023-05-27 16:10:00
Tanner Bibee,-154,122,4.5,2023-05-27 19:15:00
Tyler Glasnow,106,-134,6.5,2023-05-27 16:10:00
Zach Davies,100,-128,3.5,2023-05-27 19:15:00
Zack Wheeler,100,-128,6.5,2023-05-27 16:10:00
Alex Cobb,106,-136,5.5,2023-05-28 14:10:00
Austin Gomber,-176,138,2.5,2023-05-28 15:10:00
Bailey Ober,-148,116,4.5,2023-05-28 14:10:00
Cody Bradford,122,-154,4.5,2023-05-28 13:35:00
Colin Rea,104,-132,4.5,2023-05-28 14:10:00
Cristian Javier,-130,104,6.5,2023-05-28 16:07:00
Daniel Lynch,128,-164,4.5,2023-05-28 14:10:00
Drew Smyly,112,-142,5.5,2023-05-28 14:20:00
